,equal_weight,regime_based
2005-02-28,0.002806271721750091,-0.04699744095962001
2005-03-31,-0.01475343948604313,-0.014726046282316805
2005-04-30,-0.02564319399829882,-0.008614292537012326
2005-05-31,-0.030577048501587628,0.001612863496136025
2005-06-30,0.028618929207530962,0.03418288525233991
2005-07-31,0.00570807718244537,0.0009996351096217626
2005-08-31,-0.005493584540282418,0.006965123949656343
2005-09-30,-0.0013539252226131913,0.03914973888613032
2005-10-31,-0.012353748430100793,-0.0030115828154021126
2005-11-30,-0.011009564588022904,0.01642611166552908
2005-12-31,-0.017301706919893172,-0.00015345526008803644
2006-01-31,-0.004898900049545454,0.004487673127984136
2006-02-28,-0.010961762699838298,-0.0025932777333716956
2006-03-31,-0.03916502469685173,-0.046013105705641814
2006-04-30,0.00973447101283945,0.05460667081479361
2006-05-31,0.017157557582379877,-0.04354807202502541
2006-06-30,-0.0024327646793432817,-0.003819948161437851
2006-07-31,-0.01729514038390388,0.01047236714384727
2006-08-31,0.012324929173474686,0.05867938867637964
2006-09-30,0.014844974091563283,0.037307494436889195
2006-10-31,0.0008281329551762355,0.016441745426892796
2006-11-30,0.016430181514849367,0.02128205134452618
2006-12-31,-0.0007788084660331758,-0.004317639211871853
2007-01-31,0.05046271514623186,0.04064508455285434
2007-02-28,-0.04080885776395694,-0.07810156239928226
2007-03-31,0.008111829035407555,0.12372700878158371
2007-04-30,-0.022640498280313066,-0.02252268613149335
2007-05-31,-0.0068936739645351405,-0.004639320679580276
2007-06-30,-0.02452349782338378,-0.05359058731357561
2007-07-31,-0.0414126398936789,-0.0719138932804078
2007-08-31,0.0034977918870729967,0.029632312792252712
2007-09-30,-0.027091310090024325,-0.03618888370041747
2007-10-31,-0.023170229908308682,-0.04042198500357831
2007-11-30,-0.005234109877437331,0.023408436703067123
2007-12-31,-0.008475398348252679,0.02246221202023078
2008-01-31,0.00012861379729467372,0.01882668450891459
2008-02-29,0.027942834119281272,0.007059585996187158
2008-03-31,-0.0017672771249490626,0.0210059841301179
