,equal_weight,regime_based
2014-10-31,-0.04515791645203657,-0.029981279328503186
2014-11-30,0.010836789809344993,0.015685103204558487
2014-12-31,-0.015030370234003611,-0.003557955623118279
2015-01-31,-0.13378829453127167,-0.02040509604479114
2015-02-28,0.1176897616379884,0.036184381034796397
2015-03-31,-0.037607084241054814,-0.03253071452932386
2015-04-30,0.016679422814415996,0.007974726752660586
2015-05-31,0.008962474516393926,0.009174701110811284
2015-06-30,0.05106031077029671,0.008576394183129901
2015-07-31,-0.004122155793965094,-0.021635689849672363
2015-08-31,-0.04935707651127628,-0.016682651644303173
2015-09-30,-0.03463488640999346,-0.024021583431521124
2015-10-31,0.11741506034728395,0.08172640163004054
2015-11-30,0.042032485581202615,-0.009297409562255093
2015-12-31,0.03150401472965523,0.010951057747226624
2016-01-31,-0.0998864598082948,-0.0297970283011535
2016-02-29,0.01412442607557796,0.054838098842009034
2016-03-31,0.019216310121513775,0.015747323726966734
2016-04-30,0.02578762080903581,0.025546484407183614
2016-05-31,0.042626095271149834,0.002634471871522562
2016-06-30,-0.019146080308665707,0.02945539111581117
2016-07-31,0.00981716051473136,0.02912032240725501
2016-08-31,0.019196186209205286,-0.0037492819215346833
2016-09-30,0.015051232840846805,0.010956559287502575
2016-10-31,0.05991245333670943,0.005879624515577515
2016-11-30,0.11812126005134417,0.009085739843030384
2016-12-31,0.06521556017508168,0.022246380539757086
2017-01-31,0.01940026465611061,0.040522231940571724
2017-02-28,0.0464462076969778,0.045735532660934455
2017-03-31,-0.0057083650924146054,-0.000653321232160053
2017-04-30,0.03378453801502523,0.028497487874086687
2017-05-31,0.1123594649376547,0.06158267306002888
2017-06-30,0.02789659695632912,-0.004413532398279356
2017-07-31,0.03468603276401727,0.03153869426807873
2017-08-31,0.0918413540854096,0.06650436099787899
2017-09-30,0.023328333142791514,-0.005428752001470586
2017-10-31,0.10179840894242381,0.0489755196765491
2017-11-30,0.11961905980153716,0.05986740777190668
2017-12-31,0.07465930050421617,0.04763314975404134
2018-01-31,0.027482829007610766,0.03286891071479134
2018-02-28,0.008563549142717564,-0.00609072924675815
2018-03-31,-0.07800468202982341,-0.037186811131065645
2018-04-30,0.08104614572098774,0.03335125018419784
2018-05-31,-0.03473925718701017,-0.010603720973415717
2018-06-30,-0.022159579784538825,-0.025085426832825698
2018-07-31,0.056543091318757156,0.017277734422096805
2018-08-31,-0.017172104507045333,-0.005511110176019235
2018-09-30,0.013989229777332707,-0.00039441965398600773
2018-10-31,-0.023015225008942947,-0.017137643162966662
2018-11-30,-0.07268215571889941,-0.030498508981455712
2018-12-31,-0.07131198136283191,-0.018591017662767065
2019-01-31,0.013200797607480958,0.033708645775565045
2019-02-28,0.03734025887020185,0.016990871053422757
2019-03-31,-0.018014990803939476,-0.00403076853729081
2019-04-30,0.07434625991061332,0.036286682138764265
2019-05-31,0.028137398994567506,0.013973544487284125
2019-06-30,0.05537478903972336,0.07331790283916734
2019-07-31,0.006619884531084992,0.01310530993580553
2019-08-31,-0.08642954276365297,-0.0028092346312908936
2019-09-30,0.013010875331948554,-0.013825992095938293
2019-10-31,0.032577148082807775,0.03484668827195046
2019-11-30,-0.0032089334771993605,-0.011019052301079574
2019-12-31,0.02997022162710163,0.03174116429969525
2020-01-31,-0.00919436652584521,0.02835857608013218
2020-02-29,-0.13420508408775073,-0.064655770647628
2020-03-31,-0.23509974092151886,-0.1017248420558536
2020-04-30,0.08305311045932429,0.0934193543733439
2020-05-31,0.025646948778523377,0.027293245487481348
2020-06-30,0.006307227204452869,0.02647884327958317
2020-07-31,0.0045807187088231505,0.05961451724666996
2020-08-31,0.12256009362292758,0.0608652157106155
2020-09-30,-0.03444166604010679,-0.039945698226225096
2020-10-31,0.1473175525599352,0.055316829622597506
2020-11-30,0.08649726441124606,0.028901397762333497
2020-12-31,0.11920531711612244,0.0852224210745038
2021-01-31,0.0880720953756175,0.024884326981455224
2021-02-28,0.2351475484881723,0.07943529677409523
2021-03-31,0.12637105102929586,0.04680182057761295
2021-04-30,-0.0049410449600834246,0.021585470045151253
2021-05-31,-0.06588320490415914,0.0006869860231243606
2021-06-30,-0.004063666053606492,-0.011050909719958542
2021-07-31,-0.012330528071599213,0.012289757718737047
2021-08-31,0.05927444005764196,0.0337928259870318
2021-09-30,0.04244378980006232,-0.005513968096424779
2021-10-31,0.1290173945595036,0.08301759567044509
2021-11-30,-0.028524482220265046,-0.00675507937323852
2021-12-31,0.007301759930025832,0.016213542794211316
2022-01-31,0.021998734482136295,-0.014341564611627302
2022-02-28,0.033518522789807215,0.034623478537623334
2022-03-31,0.1385275319880129,0.07653924670605389
2022-04-30,0.004841291498951239,-0.03827518692573832
2022-05-31,-0.042998121184540064,-0.039020776657125465
2022-06-30,-0.07648947087738035,-0.05728647308237372
2022-07-31,0.026577956229269797,0.025107175980813926
2022-08-31,0.02341297070696633,-0.01535921365344425
2022-09-30,0.030840346458776743,-0.021244460132787933
2022-10-31,0.04687651239537813,0.012751271881849272
2022-11-30,-0.02936509372805266,0.027325434175379217
2022-12-31,-0.008699424126061728,-0.0009014639721387809
2023-01-31,0.07432537294525376,0.08171105513994294
2023-02-28,0.028750587795829896,-0.01219639833129332
2023-03-31,0.03252853915341075,0.06927606007910556
2023-04-30,0.004203904277114848,0.006772128033704205
2023-05-31,0.01792413099511921,0.015803180606089706
2023-06-30,0.06362496901645473,0.027794425833660243
2023-07-31,0.016964389824865995,0.022431946365912864
2023-08-31,-0.01896672061529995,-0.02004137928307182
2023-09-30,0.016106306178509163,-0.02596889773421515
2023-10-31,0.07143308784718533,0.060343886392840725
2023-11-30,0.01592638357485325,0.03842819298515771
2023-12-31,0.002281622746713105,0.018752395037364145
2024-01-31,0.012030368618135962,0.003439548112936578
2024-02-29,0.11836740133566978,0.05871991923203253
2024-03-31,0.04526267044224963,0.05910871566949274
2024-04-30,0.005088126265690954,0.007330247497645936
2024-05-31,0.026609652836551326,0.028800708832856924
2024-06-30,-0.009095663289077127,0.007988785577349649
2024-07-31,-0.010237549135936922,0.011491504033315027
2024-08-31,-0.02422201698908316,0.0028938726226810886
2024-09-30,0.01850023564182283,0.038491252545418166
2024-10-31,0.06957937207005617,0.044906676309224236
2024-11-30,0.06745092195758727,0.024734510950776212
2024-12-31,0.018639283529035246,0.0023736547564638596
2025-01-31,0.035074725620250824,0.04995641968850993
2025-02-28,-0.06004951532282693,-0.025454219248310133
2025-03-31,-0.0104783999734188,0.02871329984814656
2025-04-30,0.022146554014161098,0.03919733668301838
2025-05-31,0.06258857184267391,0.03821425470587565
2025-06-30,0.008246582698525573,0.015016374635790034
2025-07-31,0.03329508273686832,0.017607310217019084
2025-08-31,0.005218983331455299,0.027354671063068575
